Time Stamp (ms), Accel Low X, Accel Low Y, Accel Low Z, Accel Med X, Accel Med Y, Accel Med Z, Accel High Z, Temp (deg C), Pres (Pa), Geiger (counts), Humidity, Gyro X, Gyro Y, Gyro Z
241132,4,102,342,272,292,341,528,33,1707,0,521,-87,77,28002
241162,4,102,343,272,292,341,530,33,1707,1,523,-91,85,28002
241195,4,102,343,272,291,341,529,33,1707,0,520,-85,90,28004
241225,4,102,343,272,292,341,529,33,1707,1,521,-77,87,28005
241259,4,102,343,272,292,341,529,33,1707,0,520,-76,80,28004
241290,4,102,343,272,292,341,528,33,1707,0,520,-81,75,28002
241319,4,102,343,272,292,341,526,33,1707,0,523,-90,75,28002
241350,4,102,343,272,292,341,527,33,1707,1,521,-91,84,28002
241381,4,102,343,272,292,341,529,33,1707,0,520,-83,91,28003
241412,4,102,343,272,292,341,528,33,1707,0,523,-76,87,28002
241445,4,102,343,272,292,341,528,33,1707,1,523,-76,78,28002
241476,4,102,343,272,292,341,529,33,1707,0,522,-81,77,28000
241506,4,102,343,272,292,341,528,33,1707,1,523,-89,79,28002
241537,4,102,343,272,292,341,528,33,1707,0,520,-92,87,28001
241567,4,102,343,272,291,341,527,33,1707,0,520,-84,90,28001
241598,4,102,343,272,292,341,528,33,1707,0,521,-79,88,28002
241629,4,102,343,272,292,341,528,33,1707,2,522,-76,79,28003
241662,4,102,342,272,292,341,528,33,1707,0,522,-85,75,28002
241692,4,102,343,272,292,341,528,33,1707,0,520,-90,78,28004
241723,4,102,343,272,292,341,528,33,1707,0,520,-89,87,28002
241754,4,102,343,272,291,341,528,33,1707,0,521,-82,91,28003
241784,4,102,343,272,291,341,529,33,1707,0,519,-77,89,28001
241815,4,102,343,272,291,341,529,33,1707,0,520,-78,79,28004
241846,4,102,343,272,292,341,529,33,1707,1,521,-82,74,28003
241879,4,102,343,272,292,341,528,33,1707,0,522,-90,78,28002
241909,4,102,343,272,292,341,528,33,1707,0,522,-90,86,28002
241940,4,102,343,272,292,341,528,33,1707,0,521,-84,90,28004
241971,4,102,343,272,291,341,528,33,1707,0,519,-78,90,28001
242001,4,102,343,272,291,341,528,33,1707,0,522,-75,79,28004
242032,4,102,343,272,292,341,528,33,1707,0,519,-83,75,28001
242063,4,102,342,272,292,341,529,33,1707,2,521,-91,78,28003
242098,4,102,343,272,292,341,528,33,1707,1,522,-90,88,28001
242128,4,102,343,272,291,341,528,33,1707,0,522,-82,91,28001
242159,4,102,344,272,292,341,529,33,1707,0,522,-74,85,28002
242190,4,102,343,272,292,341,529,33,1707,0,519,-76,79,28003
242221,4,102,343,272,292,341,528,33,1707,0,521,-83,76,28000
242251,4,102,343,272,292,341,529,33,1707,0,522,-91,78,28002
242282,4,102,343,272,292,341,528,33,1707,0,521,-92,86,28002
242315,4,102,343,272,292,341,529,33,1707,0,519,-82,92,28005
242345,4,102,343,272,291,341,528,33,1707,1,519,-73,87,28002
242376,4,102,343,272,292,341,527,33,1707,0,519,-75,79,28003
242406,4,102,343,272,291,341,528,33,1707,0,519,-81,76,28003
242437,4,102,342,272,292,341,527,33,1707,1,520,-90,76,28001
242467,4,102,343,272,292,341,529,33,1707,0,520,-91,87,28001
242501,4,102,343,272,292,341,528,33,1707,0,522,-84,91,28004
242532,4,102,343,272,292,341,528,33,1707,0,519,-77,86,28002
242562,4,102,343,272,292,341,529,33,1707,0,522,-76,79,28004
242592,4,102,343,272,292,341,529,33,1707,1,519,-81,76,28002
242623,4,102,342,272,292,341,528,33,1707,1,519,-91,81,28003
242654,4,102,343,272,292,341,529,33,1707,0,519,-90,86,28000
242683,4,102,343,272,292,341,528,33,1707,0,519,-83,91,28003
242717,4,102,343,272,292,341,528,33,1707,0,520,-76,87,28006
242876,4,102,343,272,291,341,527,33,1707,1,520,-83,91,28001
243116,4,102,343,272,291,341,528,33,1707,2,520,-74,78,28003
243147,4,102,343,272,292,341,529,33,1707,0,518,-81,75,28002
243178,4,102,343,272,292,341,528,33,1707,2,518,-90,78,28001
243209,4,102,343,272,292,341,529,33,1707,0,521,-91,87,28002
243238,4,102,343,272,291,341,528,33,1707,0,519,-85,91,28002
243272,4,102,343,272,292,341,527,33,1707,0,520,-76,88,28002
243303,4,102,343,272,292,341,528,33,1707,3,519,-76,79,28001
243334,4,102,343,272,292,341,529,33,1707,1,519,-83,73,28003
243364,4,102,342,272,292,341,528,33,1707,0,521,-92,79,28001
243395,4,102,343,272,291,341,528,33,1707,1,521,-92,87,27999
243426,4,102,343,272,292,341,529,33,1707,1,519,-85,91,28003
243457,4,102,343,272,291,341,528,33,1707,0,518,-78,88,28001
243490,4,102,343,272,292,341,529,33,1707,1,521,-76,78,28004
243521,4,102,342,272,292,341,529,33,1707,0,521,-83,76,28004
243552,4,102,343,272,292,341,528,33,1707,1,521,-90,78,28002
243582,4,102,343,272,292,341,528,33,1707,0,519,-90,87,28002
243613,4,102,343,272,291,341,528,33,1707,1,519,-84,92,28002
243644,4,102,343,272,292,341,529,33,1707,0,521,-78,88,28002
243675,4,102,343,272,292,341,529,33,1707,0,520,-76,78,28004
243707,4,102,342,272,292,341,528,33,1707,1,519,-85,76,28000
243738,4,102,342,272,292,341,527,33,1707,0,521,-90,79,28003
243769,4,102,343,272,292,341,528,33,1707,0,521,-91,85,28003
243800,4,102,343,272,292,341,528,33,1707,0,518,-83,90,28001
243830,4,102,343,272,292,341,528,33,1707,0,521,-75,85,28003
243861,4,102,343,272,292,341,528,33,1707,1,521,-76,80,28002
243892,4,102,343,272,292,341,528,33,1707,3,518,-83,74,28000
243926,4,102,343,272,292,341,528,33,1707,1,518,-91,81,28001
243956,4,102,343,272,292,341,528,33,1707,0,518,-89,87,28002
243986,4,102,343,272,292,341,528,33,1707,0,521,-82,91,28002
244020,4,102,343,272,291,341,529,33,1707,0,521,-75,86,28002
244050,4,102,343,272,292,341,529,33,1707,1,518,-76,78,28001
244081,4,102,343,272,292,341,528,33,1707,0,521,-82,75,28003
244115,4,102,343,272,291,341,529,33,1707,1,521,-91,80,28000
244145,4,102,343,272,292,341,529,33,1707,0,518,-90,87,28002
244175,4,102,343,272,292,341,527,33,1707,1,520,-82,90,28000
244206,4,102,343,272,292,341,528,33,1707,0,518,-76,86,28000
244237,4,102,343,272,292,341,527,33,1707,0,519,-76,76,28003
244268,4,102,342,272,292,341,529,33,1707,1,521,-86,74,28000
244298,4,102,342,272,291,341,527,33,1707,0,521,-92,79,28002
244331,4,102,343,272,292,341,529,33,1707,2,519,-90,88,28001
244362,4,102,343,272,292,341,528,33,1707,0,521,-82,91,28004
244392,4,102,343,272,292,341,528,33,1707,0,518,-76,84,28003
244422,4,102,343,272,292,341,528,33,1707,1,544,-78,75,28002
244453,4,102,343,272,291,341,528,33,1707,0,518,-84,75,28003
244484,4,102,343,272,292,341,530,33,1707,0,521,-91,79,28004
244514,4,102,343,272,291,341,527,33,1707,0,521,-90,88,28000
244547,4,102,344,272,292,341,527,33,1707,1,519,-82,92,28000
244578,4,102,343,272,292,341,528,33,1707,0,510,-75,85,28001
244609,4,102,343,272,292,341,528,33,1707,0,519,-77,80,28001
244639,4,102,343,272,292,341,528,33,1707,0,518,-84,74,28001
244669,4,102,343,272,292,341,529,33,1707,0,518,-92,80,28002
244700,4,102,343,272,292,341,528,33,1707,0,520,-92,88,28003
244730,4,102,343,272,292,341,528,33,1707,0,520,-85,91,28002
244763,4,102,344,272,291,341,529,33,1707,1,519,-75,85,28001
244794,4,102,343,272,292,341,528,33,1707,0,518,-76,78,28002
244825,4,102,343,272,292,341,528,33,1707,0,520,-85,75,28003
244855,4,102,343,272,292,341,527,33,1707,0,520,-91,78,28001
244886,4,102,343,272,292,341,529,33,1707,1,518,-92,87,28003
244917,4,102,343,272,292,341,529,33,1707,0,520,-84,91,28002
244948,4,102,343,272,292,341,528,33,1707,1,517,-73,86,28002
244982,4,102,343,272,292,341,527,33,1707,0,517,-77,77,27999
245013,4,102,343,272,291,341,528,33,1707,1,517,-83,74,28003
245044,4,102,343,272,292,341,528,33,1707,0,517,-92,82,28000
245074,4,102,343,272,292,341,528,33,1707,0,517,-88,88,28003
245105,4,102,344,272,292,341,528,33,1707,0,519,-79,91,28002
245136,4,102,344,272,292,341,529,33,1707,0,520,-75,86,28002
245166,4,102,343,272,292,341,529,33,1707,1,519,-77,77,28001
245199,4,102,343,272,292,341,529,33,1707,0,519,-88,74,28003
245230,4,102,343,272,292,341,528,33,1707,0,519,-91,83,28002
245261,4,102,343,272,292,341,528,33,1707,1,520,-90,89,28002
